question,options,phase,severity
"How often have you found that you could not cope with all the things that you had to do?","not at all;a little;somewhat;more than avg;a lot","stress","medium"
"How often have you felt bad about yourself - or that you're a failure or have let yourself or your family down?","not at all;a little;somewhat;more than avg;a lot","depression","high"
"Have you seen yourself lose passion in things you previously loved a lot?","not at all;a little;somewhat;more than avg;a lot","depression","low"
"All the tasks you have performed, are taking much more time than usual?","not at all;a little;somewhat;more than avg;a lot","depression","medium"
"Have you been struggling or noticed yourself struggle to consentrate lately?","not at all;a little;somewhat;more than avg;a lot","depression","low"
"Do you feel like you have no future?","not at all;a little;somewhat;more than avg;a lot","depression","high"
"Have you been feeling guildty for everything that you do?","not at all;a little;somewhat;more than avg;a lot","depression","high"
"Have you been having any trust issues with people around you?","not at all;a little;somewhat;more than avg;a lot","depression","low"
"Have you been having any trouble with your relationships? Home as well as professional?","not at all;a little;somewhat;more than avg;a lot","depression","low"
"Do you turn to unhealthy food indulgences such as eating junk food, drinking excessively, or eating sugary foods when feeling overwhelmed?",,"not at all;a little;somewhat;more than avg;a lot","stress","high"
"Do you feel like withdrawing from family, friends, and isolating yourself?","not at all;a little;somewhat;more than avg;a lot","stress","medium"
"Have you tried or increased your intake of alcohol, drugs, or anything else to help yourself?","not at all;a little;somewhat;more than avg;a lot","stress","medium"
"Have you had any trouble keeping your mind on what you were doing lately?","not at all;a little;somewhat;more than avg;a lot","depression","low"
"How often have you felt that you were a burden to others?","not at all;a little;somewhat;more than avg;a lot","depression","medium"
"How often over the past two weeks have you felt you could not shake off the blues, even with help from your family or friends?","not at all;a little;somewhat;more than avg;a lot","depression","medium"
"How often over the past two weeks or so have you felt lonely or isolated?","not at all;a little;somewhat;more than avg;a lot","depression","high"
"How often in the past two weeks have you felt that everything you did was an effort?","not at all;a little;somewhat;more than avg;a lot","depression","high"
"Have you been afraid that something awful might happen?","not at all;a little;somewhat;more than avg;a lot","anxiety","medium"
"Have you been getting so anxious lately that you keep being restless in sleep or get negative dreams?",,"not at all;a little;somewhat;more than avg;a lot","anxiety","high"
"Have you ever or experienced any sudden bursts of anger or irritation at anyone without a reason?","not at all;a little;somewhat;more than avg;a lot","anxiety","low"
"Do your thoughts suddenly go blank due to your worrying?","not at all;a little;somewhat;more than avg;a lot","anxiety","medium"
"Have you experiencedany twitching, shaking due to your anxiety?","not at all;a little;somewhat;more than avg;a lot","anxiety","high"
"Do you get easily startled?","not at all;a little;somewhat;more than avg;a lot","anxiety","medium"
"Have you ever gotten any nightmares, negative dreams or experienced sleep paralysis?","not at all;a little;somewhat;more than avg;a lot","anxiety","low"
"Do you frequently experience feelings of dread or impending doom?","not at all;a little;somewhat;more than avg;a lot","anxiety","medium"
"Have you experienced an increased amount or sudden anxiety attacks lately?","not at all;a little;somewhat;more than avg;a lot","anxiety","high"
"Do you frequently avoid social situations for fear of being embarrassed or humiliated?","not at all;a little;somewhat;more than avg;a lot","anxiety","medium"
"Have you ever been plagued by fears that you recognize as irrational?","not at all;a little;somewhat;more than avg;a lot","anxiety","low"
"Do you often feel like your anxiety is interfering with your work, school, or family responsibilities?","not at all;a little;somewhat;more than avg;a lot","anxiety","high"
"Do you ever feel that you are using a lot of energy to keep yourself going?","not at all;a little;somewhat;more than avg;a lot","stress","low"
"How frequently have you found yourself thinking about the things you have to accomplish?","not at all;a little;somewhat;more than avg;a lot","stress","medium"
"Have you ever experienced headaches or physical tension as a result of stress?","not at all;a little;somewhat;more than avg;a lot","stress","high"
"Have you ever felt like your stress is affecting your personal relationships?","not at all;a little;somewhat;more than avg;a lot","stress","medium"
"How often have you felt that stress is affecting your overall quality of life?","not at all;a little;somewhat;more than avg;a lot","stress","high"
"Have you ever felt helpless or out of control lately?","not at all;a little;somewhat;more than avg;a lot","stress","low"
"Have you seen yourself use unhealthy coping mechanicsm (such as overeating, alcohol,etc.) to deal with stress?","not at all;a little;somewhat;more than avg;a lot","stress","high"
"How often have you felt relaxed or at ease lately?","not at all;a little;somewhat;more than avg;a lot","stress","low"
"How frequently do you feel that you cannot manage the number of responsibilities you have?","not at all;a little;somewhat;more than avg;a lot","stress","low"
"Do you feel that you are not able to make a lot of time for activities you enjoy?","not at all;a little;somewhat;more than avg;a lot","stress","low"
"Do you feel that lately you are not able to maintain a balanced diet?","not at all;a little;somewhat;more than avg;a lot","stress","low"
"Do you ever feel that you don't have a good control over your emotions?","not at all;a little;somewhat;more than avg;a lot","stress","medium"
